yes	no	yes	yes	yes	yes	yes
no	nan	nan	nan	nan	no	no
yes	no	yes	no	yes	no	yes
yes	no	yes	no	no	no	no
no	nan	nan	nan	nan	no	yes
yes	no	yes	no	yes	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
yes	no	yes	no	no	no	no
yes	no	yes	no	no	no	no
yes	no	no	no	no	no	no
no	nan	nan	nan	nan	no	no
yes	no	yes	no	no	no	no
yes	no	yes	no	no	no	no
yes	no	yes	no	no	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
yes	no	yes	no	yes	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	yes	no
yes	no	yes	no	no	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
yes	no	yes	no	no	no	no
no	nan	nan	nan	nan	no	yes
no	nan	nan	nan	nan	no	no
yes	nan	no	no	no	no	no
yes	no	yes	no	no	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
no	nan	nan	nan	nan	no	no
yes	no	yes	no	no	no	no
yes	no	yes	no	no	no	no
yes	yes	yes	yes	yes	yes	yes
yes	nan	no	yes	yes	no	no
no	nan	nan	nan	nan	yes	yes
yes	yes	no	yes	no	no	no
yes	no	yes	yes	no	no	no
no	nan	nan	nan	nan	no	no
yes	no	yes	yes	yes	no	yes
yes	yes	yes	yes	yes	no	no
no	nan	nan	nan	nan	no	no
yes	yes	yes	yes	yes	yes	no
yes	no	yes	yes	yes	no	yes
no	nan	nan	nan	nan	no	no
yes	no	yes	yes	yes	no	no
yes	nan	no	yes	yes	yes	no
